Название,№ ПУ,"Сборы, руб.",Тип,Возрастное ограничение
21 мост,121036719,23202909.88,художественный,«18+» запрещено для детей
Холмс и Ватсон,121030818,22885382.9,художественный,«16+» для детей старше 16 лет
Жара,111014519,22038632.94,художественный,«16+» для детей старше 16 лет
1+1: Голливудская история,121029518,21919521.32,художественный,«16+» для детей старше 16 лет
Нуреев. Белый ворон,121008119,21390102.93,художественный,«16+» для детей старше 16 лет
Юморист,111017918,21363842.53,художественный,«16+» для детей старше 16 лет
Шутки в сторону 2: Миссия в Майами,121003319,18910986.53,художественный,«16+» для детей старше 16 лет
Команда мечты,111013219,18878460.81,художественный,«6+» для детей старше 6 лет
Тварь,111019419,18617156.96,художественный,«16+» для детей старше 16 лет
"Окей, Лекси!",121029419,18070147.14,художественный,«18+» запрещено для детей
Черное Рождество,121038319,18001772.43,художественный,«18+» запрещено для детей
До скорой встречи,121020619,17612144.67,художественный,«18+» запрещено для детей
Лови момент,111002319,17358253.31,художественный,«16+» для детей старше 16 лет
Ибица,121018219,16949986.24,художественный,«18+» запрещено для детей
Они,121030219,16853447.16,художественный,«18+» запрещено для детей
Бык,111009619,16763623.31,художественный,«16+» для детей старше 16 лет
Красавчик со стажем,121015519,16744334.29,художественный,«16+» для детей старше 16 лет
Середина 90-х,121004419,16707120.55,художественный,«18+» запрещено для детей
Решала. Нулевые,111019719,16696944.62,художественный,«18+» запрещено для детей
Ван Гоги,111007818,16507560.58,художественный,«16+» для детей старше 16 лет
Агент Мамбо,111004319,16334733,художественный,«16+» для детей старше 16 лет
UglyDolls. Куклы с характером,124005719,16277926.46,анимационный,«6+» для детей старше 6 лет
Затерянные во льдах,121001519,16213371.99,художественный,«12+» для детей старше 12 лет
Война Анны,111003618,16189628.99,художественный,«12+» для детей старше 12 лет
Шаг вперед 6: Год танцев,121020819,15807297.81,художественный,«12+» для детей старше 12 лет
Мирай из будущего,124000119,15523879.43,анимационный,«6+» для детей старше 6 лет
Арахисовый сокол,121029919,14910889.98,художественный,«12+» для детей старше 12 лет
Другой,121005219,14343267.14,художественный,«18+» запрещено для детей
Время возмездия,121001819,14124059.52,художественный,«18+» запрещено для детей
Волшебник,111016219,13848461.92,художественный,«12+» для детей старше 12 лет
Букашки 2,124002019,13779632.32,анимационный,«0+» для любой зрительской аудитории
План побега 3,121017519,13756282.26,художественный,«18+» запрещено для детей
100 вещей и ничего лишнего,121003219,13469793.36,художественный,«18+» запрещено для детей
Прекрасная эпоха,121033219,13079651.5,художественный,«18+» запрещено для детей
Дитя робота,121013319,12985002.93,художественный,«16+» для детей старше 16 лет
Сельма в городе призраков,124008319,12875350.34,анимационный,«6+» для детей старше 6 лет
Ты умеешь хранить секреты?,121027919,12343092.21,художественный,«16+» для детей старше 16 лет
Француз,111007819,12316723.64,художественный,«16+» для детей старше 16 лет
Lil Peep: Всё для всех,126006919,12300474.55,другой,«18+» запрещено для детей
Надо мною солнце не садится,111006519,12175713,художественный,«6+» для детей старше 6 лет
Отрыв,111000619,11700861.81,художественный,«16+» для детей старше 16 лет
Донбасс. Окраина,111007919,10933431.92,художественный,«12+» для детей старше 12 лет
Звонок мертвецу,121004619,10563113.02,художественный,«18+» запрещено для детей
Три секунды,121030919,10343706.65,художественный,«18+» запрещено для детей
Смерть и жизнь Джона Ф.Донована,121022119,10252284.84,художественный,«18+» запрещено для детей
Пышка,121028218,10097673.5,художественный,«16+» для детей старше 16 лет
Битва за Землю,121013719,9702037.67,художественный,«16+» для детей старше 16 лет
Закатать в асфальт,121004219,9553451.83,художественный,«18+» запрещено для детей
Белый парень Рик,121030418,9538379.99,художественный,«18+» запрещено для детей
Присягнувшая тьме,121017219,9479265.98,художественный,«18+» запрещено для детей
Высшее общество,121005719,9355374.84,художественный,«18+» запрещено для детей
Леонардо да Винчи. Неизведанные миры,126004219,9319951.95,другой,«12+» для детей старше 12 лет
Лабиринты прошлого,121031418,9311592,художественный,«16+» для детей старше 16 лет
На Париж,111006819,9197107.51,художественный,«18+» запрещено для детей
Невиновен,111013218 / 111019319,8910476,художественный,«16+» для детей старше 16 лет
"Куда ты пропала, Бернадетт?",121024619,8887735,художественный,«16+» для детей старше 16 лет
Соблазн,121019419,8569387.42,художественный,«18+» запрещено для детей
Ядовитая роза,121013619,8523922.5,художественный,«18+» запрещено для детей
Код Красный,121007319,8356319.71,художественный,«18+» запрещено для детей
Тетрадь дружбы Нацумэ,124000619,8335973.79,анимационный,«6+» для детей старше 6 лет
Пирсинг,121030118,8203218.52,художественный,«18+» запрещено для детей
Капернаум,121000919,8085578.74,художественный,«18+» запрещено для детей
Клара и Волшебный дракон,124009019,7899828.75,анимационный,«6+» для детей старше 6 лет
Приключения Реми,121019319,7897741.62,художественный,«6+» для детей старше 6 лет
Выше неба,111009719 / 111005419,7572575.5,художественный,«16+» для детей старше 16 лет / «18+» запрещено для детей
Снежные гонки,224003118,7564303.49,анимационный,«6+» для детей старше 6 лет
Синонимы,121009419,7386708.52,художественный,«18+» запрещено для детей
Люби их всех,111007119,7228655.57,художественный,«18+» запрещено для детей
Поменяться местами,121030719,7161494.96,художественный,«16+» для детей старше 16 лет
Стертая личность,121003619,7150701.5,художественный,«18+» запрещено для детей
Сторож,111009819,7093374.3,художественный,«16+» для детей старше 16 лет
Варавва,111006918,7053686.26,художественный,«12+» для детей старше 12 лет
Спасибо деду за Победу,111007219,6903398.5,художественный,«6+» для детей старше 6 лет
Голоса с того света,121021019,6720891.97,художественный,«18+» запрещено для детей
Голем: Начало,121017719,6689235.5,художественный,«18+» запрещено для детей
Однажды в Стокгольме,121016319,6434587.4,художественный,«18+» запрещено для детей
Манхэттенский фестиваль короткометражного кино 2019,121025219,6341493,художественный,«18+» запрещено для детей
Акварель,126004419,6330992.5,другой,«12+» для детей старше 12 лет
Микеланджело. Бесконечность,126000619,6308384.48,другой,«12+» для детей старше 12 лет
Норм и несокрушимые: Ключи от королевства,124001319,6252883.58,анимационный,«6+» для детей старше 6 лет
Best Erotic Shorts. Альманах,121033019,6164575.34,художественный,«18+» запрещено для детей
Бэйбэрикээн,111005119,6152598,художественный,«6+» для детей старше 6 лет
Идеальный пациент,121032819,6121824,художественный,«18+» запрещено для детей
Промар,124006819,5966157.5,анимационный,«12+» для детей старше 12 лет
Опасные секреты,121023719,5956132.53,художественный,«16+» для детей старше 16 лет
Куриоса,121014019,5901733.46,художественный,«18+» запрещено для детей
Солдатик,111004019,5799073.05,художественный,«6+» для детей старше 6 лет
Я не такой. Я не такая,111008319,5751740.5,художественный,«16+» для детей старше 16 лет
Питомец Юрского периода,121015819,5731405.1,художественный,«6+» для детей старше 6 лет
Ангел,121031018,5712897.7,художественный,«18+» запрещено для детей
"Берлин, я люблю тебя",121016219,5603216.55,художественный,«18+» запрещено для детей
Аэронавты,121035519,5461209.45,художественный,«16+» для детей старше 16 лет
Код Гиас: Лелуш Воскресший,124005219,5422352.53,анимационный,«16+» для детей старше 16 лет
Тачка на миллион,121022619,5400212,художественный,«18+» запрещено для детей
Маленькие секреты большой компании,121024919,5356443,художественный,«16+» для детей старше 16 лет
После свадьбы,121027019,5192182.2,художественный,«16+» для детей старше 16 лет
Офелия,121019219,5131647.53,художественный,«16+» для детей старше 16 лет
Зов волка,121013019,5056881.33,художественный,«16+» для детей старше 16 лет
Химера,121032118,5054311.03,художественный,«18+» запрещено для детей
Играй или умри,121011719,5028070,художественный,«18+» запрещено для детей
"Проклятие ""Мэри""",121026319,4980435.07,художественный,«18+» запрещено для детей
Обитель тьмы,121018619,4972510.48,художественный,«18+» запрещено для детей
Тайна Мосли,124010419,4963920.97,анимационный,«6+» для детей старше 6 лет
Вокс Люкс,121003419,4929934.5,художественный,«18+» запрещено для детей
Клуб любителей книг и пирогов из картофельных очистков,121020419,4902848,художественный,«12+» для детей старше 12 лет
Обитель страха,121013519,4883153,художественный,«18+» запрещено для детей
Последнее испытание,111023018,4805348.52,художественный,«16+» для детей старше 16 лет
Как отмыть миллион,121021119,4795133.5,художественный,«16+» для детей старше 16 лет
Приключения Аладдина,121000119,4783481.5,художественный,«16+» для детей старше 16 лет
Амундсен,121006619,4765559.5,художественный,«12+» для детей старше 12 лет
За мечтой,121014719,4732610.1,художественный,«12+» для детей старше 12 лет
Черная полоса,121025618,4720682.5,художественный,«18+» запрещено для детей
Райские холмы,121031919,4654563.09,художественный,«16+» для детей старше 16 лет
Некромант,121020019,4601033.6,художественный,«16+» для детей старше 16 лет
Ангел мой,121022919,4554745,художественный,«18+» запрещено для детей
Курьер,121037019,4540375.73,художественный,«18+» запрещено для детей
Космическое приключение,124004219,4521233.86,анимационный,«6+» для детей старше 6 лет
Портрет девушки в огне,121030319,4498564.1,художественный,«18+» запрещено для детей
ВМаяковский,111002918,4462845.5,художественный,«16+» для детей старше 16 лет
Добыча,121028319,4416590.45,художественный,«16+» для детей старше 16 лет
Дети моря,124008019,4390438.01,анимационный,«12+» для детей старше 12 лет
Танцуй сердцем,121011219,4367482.86,художественный,«12+» для детей старше 12 лет
Пилигрим,111000119,4293649.51,художественный,«16+» для детей старше 16 лет
Гив ми либерти,121020319,4288938.5,художественный,«18+» запрещено для детей
Вельзевул,121012919,4274680.9,художественный,«18+» запрещено для детей
30 безумных желаний,121002619,4237829.5,художественный,«16+» для детей старше 16 лет
Клуб анонимных киллеров,121017019,4229946.52,художественный,«18+» запрещено для детей
Красивый мальчик,121031318,4193953.88,художественный,«18+» запрещено для детей
Проклятые,121011319,4146185.66,художественный,«18+» запрещено для детей
Матиас и Максим,121033519,4125676.5,художественный,«18+» запрещено для детей
Ничего себе каникулы!,121031718,4125487,художественный,«16+» для детей старше 16 лет
Работа без авторства,121025119,4116973.5,художественный,«18+» запрещено для детей
Экспедиция,111017719,4101781,художественный,«12+» для детей старше 12 лет
Вайолет Эвергарден: вечность и призрак пера,124009519,4012546.5,анимационный,«12+» для детей старше 12 лет
Добро пожаловать в Рим,121018519,3924123,художественный,«12+» для детей старше 12 лет
Робокар Поли: Приключение в Брумтауне,124009719,3885434.5,анимационный,«0+» для любой зрительской аудитории
Зеровилль,121025519,3787327.94,художественный,«18+» запрещено для детей
Плейбой под прикрытием,121011119,3695157.08,художественный,«18+» запрещено для детей
Новогодний ремонт,111018219,3591456.36,художественный,«12+» для детей старше 12 лет
Шедевр,121003019,3591049,художественный,«16+» для детей старше 16 лет
Джуди,121029019,3586753,художественный,«16+» для детей старше 16 лет
Бегство рогатых викингов,111001418,3574033.76,художественный,«0+» для любой зрительской аудитории
По воле божьей,121009319,3565967,художественный,«18+» запрещено для детей
Игра,111014618,3559301.5,художественный,«16+» для детей старше 16 лет
Петсон и Финдус. Финдус переезжает,121026519,3553554,художественный,«6+» для детей старше 6 лет
Святая Агата,121000419,3535771,художественный,«18+» запрещено для детей
Честный человек,121001219,3505648,художественный,«18+» запрещено для детей
ITALIAN BEST SHORTS 3: Итальянские фантазии (Лучшие итальянские короткометражки 3: Итальянские фантазии),121007119,3405545.76,художественный,«12+» для детей старше 12 лет
Дикая лига (авторская версия),111014819,3402053.55,художественный,«12+» для детей старше 12 лет
Тайна семьи монстров,124004718,3377378.97,анимационный,«6+» для детей старше 6 лет
Велотачки,124002919,3370796.5,анимационный,«6+» для детей старше 6 лет
Иные,121029719,3280933.02,художественный,«18+» запрещено для детей
Паваротти,126002419,3267514.61,другой,«16+» для детей старше 16 лет
Добро пожаловать в Акапулько,121004519,3256960,художественный,«16+» для детей старше 16 лет
Золотая перчатка,121011619,3232788,художественный,«18+» запрещено для детей
Амбивалентность,111014718,3228504,художественный,«18+» запрещено для детей
Кулук хомус (Проклятый хомус),111006419,3217854,художественный,«16+» для детей старше 16 лет
Мышеловка. 4Х4,121019919,3203581.62,художественный,«16+» для детей старше 16 лет
Ковер-самолет,124000319,3196478.46,анимационный,«6+» для детей старше 6 лет
Успех,111018519,3181218,художественный,«12+» для детей старше 12 лет
33 слова о дизайне,213003119,3169101,научно-популярный,«18+» запрещено для детей
Мой друг Зигмунд Фрейд,121015719,3162645,художественный,«18+» запрещено для детей
Реальная любовь в Нью-Йорке,121038219,3143790.5,художественный,«16+» для детей старше 16 лет
Белоснежка. Сказка для взрослых,121019619,3064805,художественный,«18+» запрещено для детей
Царство,121025719,3008230,художественный,«16+» для детей старше 16 лет
Кокаиновый барон,121029819,2975488,художественный,«18+» запрещено для детей
Рожденный после смерти,121036819,2938610.5,художественный,«18+» запрещено для детей
Болевой порог,111012219,2923602.5,художественный,«16+» для детей старше 16 лет
Домино,121014619,2888226.29,художественный,«18+» запрещено для детей
Raving Riot: Рейв у парламента,212023019,2884539,документальный,«16+» для детей старше 16 лет
Хрустальное небо вчерашнего дня,124001419,2878199.61,анимационный,«12+» для детей старше 12 лет
Маленькое красное платье,121019819,2828528,художественный,«18+» запрещено для детей
Девочка,121031218,2823286.5,художественный,«18+» запрещено для детей
Время монстров,121009219,2815146.25,художественный,«18+» запрещено для детей
Нежная рука закона,121005319,2753610.64,художественный,«16+» для детей старше 16 лет
Венецианский детектив,121005119,2662824.5,художественный,«12+» для детей старше 12 лет
"Папа, сдохни",111015018,2662002.99,художественный,«18+» запрещено для детей
Одной волшебной ночью,121035019,2631285,художественный,«18+» запрещено для детей
Обещание на рассвете,121002219,2628674.76,художественный,«16+» для детей старше 16 лет
Прощание,121028719,2617932.5,художественный,«16+» для детей старше 16 лет
Оленья кожа,121021819,2595629.5,художественный,«18+» запрещено для детей
Нет бога кроме меня (Ийэкээм),111013319,2532679,художественный,«16+» для детей старше 16 лет
Бладфест,121009619,2532606,художественный,«18+» запрещено для детей
7 социопатов,121021419,2527935.85,художественный,«18+» запрещено для детей
Маленькие чудовища,121028219,2497043.7,художественный,«18+» запрещено для детей
Связанные миры,124006919,2488435.51,анимационный,«12+» для детей старше 12 лет
Проклятый дом,121029918,2487021.25,художественный,«18+» запрещено для детей
Королева сердец,121011819,2486673,художественный,«18+» запрещено для детей
Белый лебедь,121006019,2482317,художественный,«18+» запрещено для детей
Великий северный путь,113000519,2459667.5,научно-популярный,«12+» для детей старше 12 лет
Водяная,111011518,2453299.34,художественный,«12+» для детей старше 12 лет
Айка,111002019,2446886,художественный,«16+» для детей старше 16 лет
Вита и Вирджиния,121008319,2405108.51,художественный,«18+» запрещено для детей
Сирано. Успеть до премьеры,121005619,2399461.5,художественный,«16+» для детей старше 16 лет
